Designator,Mid X,Mid Y,Rotation,Layer
A1,223.96,-42.0,270.0,bottom
D1,54.0,-51.0,0.0,top
D10,82.0,-79.0,0.0,top
D11,110.0,-79.0,0.0,top
D12,138.0,-79.0,0.0,top
D13,166.0,-79.0,0.0,top
D14,194.0,-79.0,0.0,top
D15,222.0,-79.0,0.0,top
D16,250.0,-79.0,0.0,top
D17,54.0,-107.0,0.0,top
D18,82.0,-107.0,0.0,top
D19,110.0,-107.0,0.0,top
D2,82.0,-51.0,0.0,top
D20,138.0,-107.0,0.0,top
D21,166.0,-107.0,0.0,top
D22,194.0,-107.0,0.0,top
D23,222.0,-107.0,0.0,top
D24,250.0,-107.0,0.0,top
D25,54.0,-135.0,0.0,top
D26,82.0,-135.0,0.0,top
D27,110.0,-135.0,0.0,top
D28,138.0,-135.0,0.0,top
D29,166.0,-135.0,0.0,top
D3,110.0,-51.0,0.0,top
D30,194.0,-135.0,0.0,top
D31,222.0,-135.0,0.0,top
D32,250.0,-135.0,0.0,top
D33,54.0,-163.0,0.0,top
D34,82.0,-163.0,0.0,top
D35,110.0,-163.0,0.0,top
D36,138.0,-163.0,0.0,top
D37,166.0,-163.0,0.0,top
D38,194.0,-163.0,0.0,top
D39,222.0,-163.0,0.0,top
D4,138.0,-51.0,0.0,top
D40,250.0,-163.0,0.0,top
D41,54.0,-191.0,0.0,top
D42,82.0,-191.0,0.0,top
D43,110.0,-191.0,0.0,top
D44,138.0,-191.0,0.0,top
D45,166.0,-191.0,0.0,top
D46,194.0,-191.0,0.0,top
D47,222.0,-191.0,0.0,top
D48,250.0,-191.0,0.0,top
D49,54.0,-219.0,0.0,top
D5,166.0,-51.0,0.0,top
D50,82.0,-219.0,0.0,top
D51,110.0,-219.0,0.0,top
D52,138.0,-219.0,0.0,top
D53,166.0,-219.0,0.0,top
D54,194.0,-219.0,0.0,top
D55,222.0,-219.0,0.0,top
D56,250.0,-219.0,0.0,top
D57,54.0,-247.0,0.0,top
D58,82.0,-247.0,0.0,top
D59,110.0,-247.0,0.0,top
D6,194.0,-51.0,0.0,top
D60,138.0,-247.0,0.0,top
D61,166.0,-247.0,0.0,top
D62,194.0,-247.0,0.0,top
D63,222.0,-247.0,0.0,top
D64,250.0,-247.0,0.0,top
D7,222.0,-51.0,0.0,top
D8,250.0,-51.0,0.0,top
D9,54.0,-79.0,0.0,top
J1,240.925,-93.535,270.0,top
R1,132.5,-45.5,0.0,top
R2,132.5,-73.5,0.0,top
R3,132.4125,-101.0,0.0,top
R4,132.4125,-130.0,0.0,top
R5,132.4125,-157.5,0.0,top
R6,132.0,-185.0,0.0,top
R7,132.5,-213.0,0.0,top
R8,132.5,-241.0,0.0,top
U1,54.0,-46.5,180.0,top
U10,82.0,-74.5,180.0,top
U11,110.0,-74.5,180.0,top
U12,138.0625,-74.5,180.0,top
U13,166.0,-74.5,180.0,top
U14,194.0,-74.5,180.0,top
U15,222.0,-74.55,180.0,top
U16,250.0625,-74.5,180.0,top
U17,54.0625,-102.5,180.0,top
U18,82.0,-102.5,180.0,top
U19,110.0625,-102.5,180.0,top
U2,82.0625,-46.5,180.0,top
U20,138.0,-102.5,180.0,top
U21,166.0625,-102.5,180.0,top
U22,194.0,-102.5,180.0,top
U23,222.0625,-102.5,180.0,top
U24,250.0,-102.5,180.0,top
U25,54.0625,-130.5,180.0,top
U26,82.0625,-130.5,180.0,top
U27,110.0,-130.5,180.0,top
U28,138.0,-130.5,180.0,top
U29,166.0625,-130.5,180.0,top
U3,110.0625,-46.5,180.0,top
U30,194.0,-130.5,180.0,top
U31,221.9375,-130.5,180.0,top
U32,250.0,-130.5,180.0,top
U33,54.0625,-158.5,180.0,top
U34,82.0625,-158.5,180.0,top
U35,110.0625,-158.5,180.0,top
U36,137.9375,-158.5,180.0,top
U37,166.0,-158.5,180.0,top
U38,194.0,-158.5,180.0,top
U39,222.0,-158.5,180.0,top
U4,138.0625,-46.5,180.0,top
U40,250.0,-158.5,180.0,top
U41,54.0,-186.5,180.0,top
U42,82.0,-186.5,180.0,top
U43,110.0,-186.5,180.0,top
U44,138.0625,-186.5,180.0,top
U45,165.9375,-186.45,180.0,top
U46,193.9375,-186.5,180.0,top
U47,221.9375,-186.55,180.0,top
U48,250.0,-186.5,180.0,top
U49,54.0,-214.5,180.0,top
U5,166.0,-46.5,180.0,top
U50,82.0,-214.5,180.0,top
U51,110.0,-214.5,180.0,top
U52,138.0625,-214.55,180.0,top
U53,166.0625,-214.45,180.0,top
U54,194.0625,-214.5,180.0,top
U55,222.0625,-214.5,180.0,top
U56,250.0,-214.5,180.0,top
U57,54.0625,-242.45,180.0,top
U58,82.0625,-242.5,180.0,top
U59,109.9375,-242.5,180.0,top
U6,194.0625,-46.5,180.0,top
U60,138.0,-242.5,180.0,top
U61,166.0,-242.5,180.0,top
U62,193.9375,-242.45,180.0,top
U63,222.0,-242.5,180.0,top
U64,250.0625,-242.5,180.0,top
U65,165.015,-65.01,270.0,bottom
U7,222.0,-46.5,180.0,top
U8,250.0,-46.5,180.0,top
U9,54.0625,-74.5,180.0,top
